記事ID,収集日時(UTC),ソース,タイトル,URL,公開日,概要(先頭200字),企業名,軸1_組織,軸2_制度仕組み,軸3_コンプライアンス,軸4_業務プロセス,軸5_データマネジメント,軸6_生成AI活用,軸7_業務統合,主要評価軸,推定レベル,判定根拠
f924af8c2bd7,2026/5/26 13:28,PR TIMES,生成AIサービス「Stella AI for Biz」が「デジタル化・AI導入補助金2026」の対象ITツールに認定,https://prtimes.jp/main/html/rd/p/000000078.000138218.html,2026/5/26,"[SUPERNOVA]
　生成AIサービス開発を手掛ける株式会社SUPERNOVA（本社：東京都港区　代表取締役社長 木本　東賢　以下、当社）は、当社が提供する法人向け生成AIサービス「Stella AI for Biz」が、中小企業庁監督のもと独立行...",株式会社SUPERNOVA,2,2,3,2,2,3,2,コンプライアンス,3,政府補助金対象認定を受けており、法令・制度に基づいた体系的な生成AIサービス提供体制を構築している
664338d35160,2026/5/26 13:28,PR TIMES,aiESG、ESG体験型カードゲーム「Chain Impact Sandwich」を2026年6月より提供開始,https://prtimes.jp/main/html/rd/p/000000065.000120780.html,2026/5/26,"[株式会社aiESG]
株式会社aiESG（アイエスジー、本社：福岡県福岡市、代表取締役：馬奈木 俊介、以下「aiESG」）は、サービスレベルの包括的なESG分析・評価を実施する九州大学のアカデミア発AIスタートアップ企業です。この度、...",株式会社aiESG、九州大学,2,2,2,2,2,2,2,生成AI活用,2,ESG分析の基本手順を明文化し、体験型ツールとして一定の標準化を実現している段階
c1c91f4f876a,2026/5/26 13:28,PR TIMES,Scalebase AI Agent 第2弾「Scalebase MCP」を提供開始 生成AIが収益プロセス全体の意思決定と実行を最大化,https://prtimes.jp/main/html/rd/p/000000056.000050107.html,2026/5/26,"[Scalebase株式会社]
[画像1: https://prcdn.freetls.fastly.net/release_image/50107/56/50107-56-7db68f34731aaa900b326279ab509248-1200x630.png?width=536&amp;quality=85%2C75&amp;format=jpeg&amp;auto=webp&amp;fit",Scalebase株式会社,2,2,2,3,2,3,4,生成AIの業務プロセスへの統合,4,生成AIエージェントが収益プロセス全体の意思決定・実行を最大化する統合システムで、定量的な効果管理を実施している段階
0e989de49882,2026/5/26 13:29,PR TIMES,全国初(*1)のインクルーシブ教育型教室「くまプリ教室」を宮崎市に開校,https://prtimes.jp/main/html/rd/p/000000003.000181625.html,2026/5/26,"[株式会社同立有志会ホールディングス]
株式会社同立有志会ホールディングス（代表取締役：中村尊裕）は、AIを活用した個別最適化学習教材「くまプリ」を導入した、全国初の“インクルーシブ教育型”学習教室『くまプリ教室』を宮崎市に開校することをお...",株式会社同立有志会ホールディングス,2,2,1,2,1,2,2,生成AIの業務プロセスへの統合,2,AI教材「くまプリ」を導入した教室開校。個別最適化学習への統合だが、展開初期段階の基本実装。
0dd839b502f3,2026/5/26 13:29,PR TIMES,株式会社AmbiRise、自治体・公共機関向け電子請求サービス「Haratte」、生成AI-OCRを活用した請求書自動入力補助機能を提供開始,https://prtimes.jp/main/html/rd/p/000000072.000014049.html,2026/5/26,"[グラビス株式会社]
グラビスグループの株式会社AmbiRise（本社：[北海道札幌市中央区北二条西4丁目1番地]、代表取締役：渡部貴大）は、自治体・公共機関向け電子請求サービス「Haratte（ハラッテ）」において、生成AI-OCR技術を活用...",グラビス株式会社、株式会社AmbiRise,2,2,2,2,2,2,2,生成AI活用,2,生成AI-OCR技術を請求書処理に実装。業務プロセス標準化の初期段階で、基本的な機能提供レベル。
16677b54cabc,2026/5/26 13:29,PR TIMES,A.T. カーニー株式会社、VARIETASの「AI面接官」を導入。戦略コンサルで問われる「ケース面接」をAI化,https://prtimes.jp/main/html/rd/p/000000059.000079152.html,2026/5/26,"[VARIETAS]
株式会社VARIETAS（読み方「バリエタス」）は、同社が開発・提供する「AI面接官」が経営戦略コンサルティングファームであるA.T. カーニー株式会社（以下、A.T. カーニー）の採用プロセスにおいて導入されること...",株式会社VARIETAS、A.T. カーニー株式会社,2,2,2,2,1,2,2,生成AIの業務プロセスへの統合,2,AI面接官を採用プロセスに導入。ケース面接の自動化だが、基本方針明文化・実装段階の初期化。
6f5052fc6af7,2026/5/26 13:29,PR TIMES,AI活用型業務プラットフォーム「AWLL Studio」、正式版を提供開始,https://prtimes.jp/main/html/rd/p/000000010.000167010.html,2026/5/26,"[オウル]
[画像: https://prcdn.freetls.fastly.net/release_image/167010/10/167010-10-467acf2ed3a234034a0cc23cb2e4f6e9-1920x1280.png?width=536&amp;quality=85%2C75&amp;format=jpeg&amp;auto=webp&amp;fit=bounds&",オウル,2,2,1,3,2,3,3,生成AI活用,3,AI活用型業務プラットフォームの正式版提供開始。生成AIモデルの選定・運用体制が確立され、業務プロセスへの統合が標準化されている段階。
fa6cc246a10c,2026/5/26 13:29,PR TIMES,DEGIMA AI、AMD Radeon GPUが使える世界初のクラウドサービスをリリース,https://prtimes.jp/main/html/rd/p/000000003.000182577.html,2026/5/26,"[DEGIMA AI, Inc.]
2026年5月26日 - DEGIMA AI, Inc. は本日、AMD Radeon GPUを利用できる世界初のクラウドサービス※をリリースしました。
https://degima.ai/

[画像: https://prcdn.freetls.fastly.net/release_image/182577/3/18...","DEGIMA AI, Inc.",2,2,1,2,2,3,2,生成AI活用,3,AMD Radeon GPU対応クラウドサービスの提供開始。生成AI基盤としてのインフラ・モデル運用体制が構築・標準化されている段階。
e98d480333e8,2026/5/26 13:29,PR TIMES,ブランディング会社 crack代表・大野陣が「国内有数の生成AIプラットフォーム」GUGAの主催する委員会で講演,https://prtimes.jp/main/html/rd/p/000000005.000085627.html,2026/5/22,"[crack株式会社]
[画像1: https://prcdn.freetls.fastly.net/release_image/85627/5/85627-5-4c53d77de94f4b917e9547247f40bdd0-2508x1672.jpg?width=536&amp;quality=85%2C75&amp;format=jpeg&amp;auto=webp&amp;fit=boun",crack株式会社,1,1,1,1,1,1,1,組織,1,生成AIプラットフォームGUGAの委員会講演。生成AI関連の取り組みについて属人的・初期段階の活動を報告している段階。
7f95d4181237,2026/5/26 13:29,PR Newswire,"U.S. Corporations Hemorrhage $1.9 Trillion Annually: Industrial Veteran Exposes ""Discretionary Effort Deficit"" as Root Cause of Margin Compression",https://www.prnewswire.com/news-releases/us-corporations-hemorrhage-1-9-trillion-annually-industrial-veteran-exposes-discretionary-effort-deficit-as-root-cause-of-margin-compression-302781857.html,"Tue, 26 May 2026 13:14:00 +0000","NEW YORK, May 26, 2026 /PRNewswire/ -- U.S. enterprises sustain an estimated $1.9 trillion in unforecasted productivity losses annually. While corporate boards routinely attribute this severe profit m",,1,1,,1,,,,生成AI活用対象の業務プロセス,1,生産性向上の課題提示だが、生成AI導入の具体的取組は不明。属人的な段階。
0ca204b6962f,2026/5/26 14:04,PR TIMES,【OOHの常識を変える】認知～獲得、視認解析～効果測定まで実現。特許取得のAIアドトラックとは【6月9日開催】,https://prtimes.jp/main/html/rd/p/000000616.000005365.html,2026/5/26,"[株式会社アイズ]
株式会社アイズ（所在地：東京都渋谷区、代表取締役社長：福島範幸、東証グロース：5242）が運営するNo.1*の広告業界のプラットフォーム「メディアレーダー」が主催するマーケティングセミナーイベント「第22回メ...",株式会社アイズ,1,1,,2,2,2,2,生成AI活用,2,特許取得のAIアドトラック技術により、広告視認解析と効果測定の業務プロセスにAIを組み込んでいる段階。基本的な運用・評価の仕組みが明文化されている。
6a7cac384a09,2026/5/26 14:04,PR TIMES,【相続・終活に関する全国調査2026 結果発表第２弾】終活相談は「士業」が主流も、新たな選択肢として「生成AI」が台頭,https://prtimes.jp/main/html/rd/p/000000069.000076273.html,2026/5/26,"[株式会社ルリアン]
相続・終活のプラットフォーム「みんなの相続窓口」「みんなの終活窓口」を展開する株式会社ルリアン（京都府京都市、代表取締役会長兼CEO：藤巻 米隆）は、15,244人（うち親の死による相続経験者 1,053人）を対...",株式会社ルリアン,1,1,1,1,,1,1,生成AI活用,1,終活相談の選択肢として生成AIが台頭している状況の認識報告。具体的な導入体制や運用方法は明確でなく、認識段階の属人的な活用状態。
d4dc3b69ca2b,2026/5/26 14:04,PR TIMES,【2026年6月前半開催】AI検索時代を勝ち抜く「LLMO・AIO対策」の最前線を公開！WEB集客最大化ウェビナーを4日程で開催,https://prtimes.jp/main/html/rd/p/000000026.000145103.html,2026/5/26,"[株式会社ipe]
株式会社ipe（本社：東京都港区）は、最新のアルゴリズム分析に基づいた「AI時代のWEB集客最大化ウェビナー」を2026年6月前半に計4本開催いたします。
[画像: https://prcdn.freetls.fastly.net/release_image/14...",株式会社ipe,1,1,,2,2,2,2,生成AI活用,2,LLMO・AIO対策等の最新アルゴリズム分析に基づくWEB集客施策。業務プロセスへのAI組み込みが標準化・明文化されている段階。
98d3cd5f5970,2026/5/26 14:04,PR TIMES,AI活用で事業構造を再編、統合支援体制へ移行,https://prtimes.jp/main/html/rd/p/000000443.000098210.html,2026/5/26,"[ファーストイノベーション]
[画像1: https://prcdn.freetls.fastly.net/release_image/98210/443/98210-443-82273f895ad70c7225f4ec5ab9969390-1672x941.jpg?width=536&amp;quality=85%2C75&amp;format=jpeg&amp;auto=webp&amp;fi",ファーストイノベーション,2,2,,2,,2,3,生成AIの業務プロセスへの統合,3,AI活用により事業構造を再編し、統合支援体制へ移行。全社的な業務プロセスの統一的な再構築を実施している段階。
80e3a1a08960,2026/5/26 14:04,PR TIMES,面倒な作業を自動化して仕事の効率アップ！『できるPower Automate for desktop 改訂2版 Copilot対応』を5月26日（火）に発売,https://prtimes.jp/main/html/rd/p/000007396.000005875.html,2026/5/26,"[株式会社インプレスホールディングス]
インプレスグループでIT関連メディア事業を展開する株式会社インプレス（本社：東京都千代田区、代表取締役社長：高橋隆志）は、最新のPower Automate for desktopを使った自動化のノウハウが身に付く解説書『で...",株式会社インプレスホールディングス、株式会社インプレス,2,2,,2,,2,2,生成AIの業務プロセスへの統合,2,Power AutomateとCopilotを活用した業務自動化について、手順書・教育プログラムレベルで標準化・体系化が進行中
afab74bdd7f9,2026/5/26 14:04,PR TIMES,"「AIを使いこなすエンジニアに、最高水準の報酬を」株式会社ハロー、2027年末までにエンジニア平均年収1,500万円達成を宣言",https://prtimes.jp/main/html/rd/p/000000061.000056009.html,2026/5/26,"[株式会社ハロー]
[画像: https://prcdn.freetls.fastly.net/release_image/56009/61/56009-61-6c2bf6afc8946af6f500b9e49bfb7026-1200x675.png?width=536&amp;quality=85%2C75&amp;format=jpeg&amp;auto=webp&amp;fit=bounds",株式会社ハロー,3,3,,,,,,組織,3,AI活用エンジニアへの最高水準報酬施策を経営戦略として宣言。組織全体で人材育成・評価体制を標準化する取り組み
5f8bbfb53f64,2026/5/26 14:04,PR TIMES,名古屋初開催「AI博覧会Nagoya2026」出展のお知らせ,https://prtimes.jp/main/html/rd/p/000000007.000154429.html,2026/5/26,"[株式会社フューチャーイン]
株式会社フューチャーイン（本社：愛知県名古屋市、代表：渡邉 英治）は2026年6月16日（火）から17日（水）まで名古屋コンベンションホールで開催される「AI博覧会Nagoya2026」へ、グループ会社のエクシオ・デジ...",株式会社フューチャーイン、エクシオ・デジタル,2,,,,,,,組織,2,AI博覧会への出展。企業のAI活用方針・戦略を対外発信する取り組み。基本的な方針表明レベル
bdd53fa3e0c3,2026/5/26 14:05,PR Newswire,"Octagos Launches Ask Atlas™, the First AI Tool Built for Device Clinics to Ask Questions of Their Own Data",https://www.prnewswire.com/news-releases/octagos-launches-ask-atlas-the-first-ai-tool-built-for-device-clinics-to-ask-questions-of-their-own-data-302781891.html,"Tue, 26 May 2026 14:00:00 +0000","Built on Atlas AI™, Ask Atlas allows care teams to ask plain-language questions across their own clinical, operational, and billing data, returning structured answers in seconds. HOUSTON, May 26, 2026",Octagos,2,3,2,3,3,3,3,生成AI活用,3,医療機関向けにAIツール(Ask Atlas)を提供。臨床データへの自然言語クエリ対応で、業務プロセスに標準化された統合を実現
e1ba750c2970,2026/5/26 14:05,PR Newswire,eBase Solutions Joins Kleinschmidt Inc. to Deliver End-to-End Integration Across Connected Supply Chains and Digital Enterprises,https://www.prnewswire.com/news-releases/ebase-solutions-joins-kleinschmidt-inc-to-deliver-end-to-end-integration-across-connected-supply-chains-and-digital-enterprises-302780494.html,"Tue, 26 May 2026 14:00:00 +0000","TORONTO, May 26, 2026 /PRNewswire/ -- eBase Solutions, a leader in helping organizations become fully digital enterprises, today announced it has been acquired by Kleinschmidt Inc., a provider of supp",eBase Solutions、Kleinschmidt Inc.,2,2,1,2,2,1,2,生成AIの業務プロセスへの統合,2,デジタル企業・サプライチェーン統合を標榜するが、生成AI具体的言及なく、買収に伴う統合戦略段階
d512e2a1ed1a,2026/5/27 5:11,PR TIMES,法人向けCoworkツールの「ChatSense」、セキュア機能を強化,https://prtimes.jp/main/html/rd/p/000000320.000073671.html,2026/5/27,"[株式会社ナレッジセンス]
株式会社ナレッジセンス（東京都港区、代表取締役CEO 門脇 敦司）が提供する法人向けAIエージェント「ChatSense」は、ブラウザ操作エージェント機能「Cowork」において、AIによるリスク判定精度の向上を実施しま...",株式会社ナレッジセンス,,,3,2,,3,2,コンプライアンス,3,セキュリティ機能強化とリスク判定精度向上により、コンプライアンス対応が標準化されている段階。AIエージェントの運用管理も基本的に体系化されている。
907284e61d46,2026/5/27 5:11,PR TIMES,複雑化するAI時代のマネジメントに、社外という選択肢。実践機会とフィードバックで管理職を支援する「Business Compass for Managers」提供開始,https://prtimes.jp/main/html/rd/p/000000005.000173056.html,2026/5/27,"[株式会社iCros]
株式会社iCros（本社：東京都港区、代表：藤野 里衣、以下 iCros）は、実践機会とフィードバック、社外視点を組み合わせたマネジメント支援サービス『Business Compass for Managers』（特許出願中）の提供を開始...",株式会社iCros,2,2,,2,,,2,組織,2,AI時代のマネジメント支援サービス提供により、組織的な管理職育成体制が基本方針として明文化・体系化されている段階。
afda6b9e0d33,2026/5/27 5:11,PR TIMES,大規模組織のガバナンス強化と経理DXを加速。Stena Expense、エンタープライズ向け新機能を大幅拡充,https://prtimes.jp/main/html/rd/p/000000080.000046548.html,2026/5/27,"[株式会社ChillStack]
AIとセキュリティで官公庁と大手企業の挑戦を支える株式会社ChillStack（本社：東京都渋谷区、代表取締役：伊東 道明、以下「ChillStack」）は、不正経費自動検知クラウド「Stena Expense」において、数千人規模...",株式会社ChillStack,,3,3,3,2,3,3,生成AI活用対象の業務プロセス,3,不正経費検知という業務プロセスが標準化され、数千人規模の大規模組織向けエンタープライズ機能として全社的に一貫運用されている。
03e24c7ce36c,2026/5/27 5:11,PR TIMES,"展示会ブースに、話しかけられる集客AIアバター""PITALIy""を",https://prtimes.jp/main/html/rd/p/000000021.000123193.html,2026/5/27,"[AIVy株式会社]
AIVy株式会社（本社：東京都、代表取締役：村上卓斗、以下「AIVy」）は、展示会やイベントでの集客・接客に特化した「展示会専用プラン」を提供することをお知らせいたします。
[画像1: https://prcdn.freetls.fa...",AIVy株式会社,,1,,1,,2,1,生成AI活用,2,AIアバターによる集客・接客機能を展示会向けに提供開始。基本的な機能は確立されているが、運用方針は発展途上段階。
c51b2af6a18b,2026/5/27 5:11,PR TIMES,合同会社馬車馬テクノロジーズ、『筑波大学発ベンチャー』に認定。馬車馬AIエッジソリューションとして生成AIによる会議効率化支援ツール「D-meeting」を公開,https://prtimes.jp/main/html/rd/p/000000004.000173387.html,2026/5/27,"[馬車馬テクノロジーズ]
生成AIを活用したソフトウェア開発やソリューション構築、AI導入やDX支援を主軸とするテクノロジーカンパニーの合同会社馬車馬テクノロジーズ（本店：岡山県岡山市、東京支店：東京都港区、代表：三宅 健太郎）は...",合同会社馬車馬テクノロジーズ,2,2,,2,,2,2,生成AI活用対象の業務プロセス,2,会議効率化ツール「D-meeting」により、会議という業務プロセスの標準化と生成AIの統合が基本方針として明文化されている。
cf1c77391263,2026/5/27 5:11,PR TIMES,企業の安全な生成AI活用を支援するCloudbaseとSB C&Sがディストリビューター契約を締結,https://prtimes.jp/main/html/rd/p/000000079.000056572.html,2026/5/27,"[Cloudbase]
Cloudbase株式会社（本社：東京都港区、代表取締役CEO：岩佐 晃也、以下「Cloudbase」）とSB C&amp;S株式会社（本社：東京都港区、代表取締役社長 兼 CEO：草川 和哉、以下「SB C&amp;S」）は、ディストリビュー...",Cloudbase株式会社、SB C&S株式会社,2,2,3,,2,3,,生成AI活用,3,企業の安全な生成AI活用を支援するプラットフォーム提供。コンプライアンス・セキュリティ対応が主軸で、モデル選定・運用支援体制が体系化されている。
2ff3c02a7754,2026/5/27 5:11,PR TIMES,カコムスホールディングス、全社横断の「AI推進プロジェクト」を始動,https://prtimes.jp/main/html/rd/p/000000004.000170645.html,2026/5/27,"[カコムスホールディングス株式会社]
　カコムスホールディングス株式会社（大阪市、代表取締役会長兼社長：清水 卓、以下「カコムスホールディングス」）は、カコムスグループ全体でAI活用を推進する 「AI推進プロジェクト」 を始動しました。本プロ...",カコムスホールディングス株式会社,2,2,1,1,1,1,1,組織,2,全社横断的なAI推進プロジェクト始動。戦略的な方針は示されているが、具体的な制度や運用体制の整備はこれからの段階。
c208743ce2a8,2026/5/27 5:11,PR TIMES,企業の安全な生成AI活用を支援するCloudbaseとSB C&Sがディストリビューター契約を締結,https://prtimes.jp/main/html/rd/p/000001040.000022656.html,2026/5/27,"[SB C&amp;S株式会社]
Cloudbase株式会社（本社：東京都港区、代表取締役CEO：岩佐 晃也、以下「Cloudbase」）とSB C&amp;S株式会社（本社：東京都港区、代表取締役社長 兼 CEO：草川 和哉、以下「SB C&amp;S」）は、ディストリビュー...",Cloudbase株式会社、SB C&S株式会社,2,2,3,,2,3,,生成AI活用,3,企業の安全な生成AI活用を支援するプラットフォーム提供。コンプライアンス・セキュリティ対応が主軸で、モデル選定・運用支援体制が体系化されている。
797e0b7edff8,2026/5/27 5:11,PR TIMES,"生成AIで経理伝票起票を自動化、東急で年間約5,000時間の作業削減を目指す",https://prtimes.jp/main/html/rd/p/000000338.000053341.html,2026/5/27,"[ウイングアーク１ｓｔ株式会社]
　株式会社NTTデータ（以下、NTTデータ）、株式会社NTTデータ・ビズインテグラル（以下、NTTデータ・ビズインテグラル）およびウイングアーク１ｓｔ株式会社（以下、ウイングアーク）は2025年度に、東急株式会社...",株式会社NTTデータ、株式会社NTTデータ・ビズインテグラル、ウイングアーク１ｓｔ株式会社、東急株式会社,2,2,2,3,2,3,3,生成AIの業務プロセスへの統合,3,"経理伝票起票業務にAI組み込み実装。年5,000時間削減の定量効果を設定し、業務プロセス整備と運用体制が標準化されている段階。"
c17cd398f911,2026/5/27 5:11,PR TIMES,Gigalogy、生成AIで社会人の学びを支援。文部科学省「マナパス」にAIアドバイザー機能を提供,https://prtimes.jp/main/html/rd/p/000000024.000097214.html,2026/5/27,"[Gigalogy株式会社]
[画像1: https://prcdn.freetls.fastly.net/release_image/97214/24/97214-24-710e82fd6b35ec23360dddb6c3ab002e-920x450.png?width=536&amp;quality=85%2C75&amp;format=jpeg&amp;auto=webp&amp;fit=b",Gigalogy株式会社,1,1,2,2,1,2,2,生成AI活用,2,文部科学省マナパスへのAIアドバイザー機能提供。社会人学習支援という用途定義と運用方針は明確だが、組織的・制度的な体系化は発展途上。
52ad758de53b,2026/5/27 5:11,PR TIMES,MSIが「AI Jinni」を発表：MSI PC向けの次世代AIハブ,https://prtimes.jp/main/html/rd/p/000001420.000053749.html,2026/5/27,"[エムエスアイコンピュータージャパン株式会社]
[画像1: https://prcdn.freetls.fastly.net/release_image/53749/1420/53749-1420-a20372389add7cb316ea6dae75c905c5-1672x941.jpg?width=536&amp;quality=85%2C75&amp;format=jpeg&amp;auto=",エムエスアイコンピュータージャパン株式会社,1,,,1,,2,1,生成AI活用,2,PC向けAIハブ製品の発表であり、生成AI活用機能の実装段階と判定。
ef970127f61b,2026/5/27 5:11,PR TIMES,Miroとフォーティエンスコンサルティング、サプライチェーン領域において協業,https://prtimes.jp/main/html/rd/p/000000002.000183605.html,2026/5/27,"[ミロ・ジャパン合同会社]
AIイノベーションワークスペースMiro(R)(http://www.miro.com/)（本社：米国カリフォルニア州、日本法人：東京都千代田区、代表執行役社長：向山 泰貴、以下Miro）は、フォーティエンスコンサルティング株式会社...",ミロ・ジャパン合同会社、フォーティエンスコンサルティング株式会社,2,2,,2,,2,2,生成AIの業務プロセスへの統合,2,複数企業の協業によるサプライチェーン領域でのAI活用で、基本的な業務統合段階と判定。
e1d7cf73de83,2026/5/27 5:11,PR TIMES,朝日新聞社の文章校正AI 「Typoless（タイポレス）」Microsoft Outlookメールも校正可能に,https://prtimes.jp/main/html/rd/p/000002174.000009214.html,2026/5/27,"[株式会社朝日新聞社]
[画像1: https://prcdn.freetls.fastly.net/release_image/9214/2174/9214-2174-ea902089655ab1dd3b50c4cfad7d3373-571x153.png?width=536&amp;quality=85%2C75&amp;format=jpeg&amp;auto=webp&amp;fit=bo",株式会社朝日新聞社,2,2,2,2,1,2,2,生成AIの業務プロセスへの統合,2,文章校正AIを複数ツールに統合し業務プロセス化。基本的な運用体制の確立段階と判定。
61e0384818cc,2026/5/27 5:11,PR TIMES,Lazuli株式会社、早稲田大学・上田教授の研究に飲食店POSデータを提供、世界的な経済学術誌「Review of Income and Wealth」に論文が掲載」,https://prtimes.jp/main/html/rd/p/000000118.000068652.html,2026/5/27,"[Lazuli株式会社]
AI技術を活用した商品データ運用基盤「Lazuli PDP」を提供するLazuli株式会社（本社：東京都渋谷区、代表取締役：萩原静厳）は、早稲田大学 政治経済学術院 上田晃三教授による研究に対し、全国約1,000店舗の飲食...",Lazuli株式会社、早稲田大学,2,,,2,3,2,2,データマネジメント,3,全国1000店舗のPOSデータ提供で、体系的なデータ管理・活用体制確立と判定。
9747e062af02,2026/5/27 5:11,PR TIMES,テラデータ、次世代製品「Teradata Autonomous Knowledge Platform」を発表,https://prtimes.jp/main/html/rd/p/000000254.000018629.html,2026/5/27,"[日本テラデータ]
[2026年5月7日にTeradata Corporationより発表されたプレスリリースの抄訳です]

本発表の要約
- 「AIを試す」から「AIが動く」へ： 24時間365日、指示を待たずに自律的に行動するAI実行基盤「Teradata Autonomou...",日本テラデータ、Teradata Corporation,2,,,2,2,3,3,生成AI活用,3,自律的に24時間365日動作するAI実行基盤で、標準化された全社的な運用体制と判定。
cddde7cfd0c2,2026/5/27 5:11,PR TIMES,ウォーターサーバーナビに診断AI機能を追加。質問するだけで料金・用途・設置場所などから最適な機種を提案。,https://prtimes.jp/main/html/rd/p/000000003.000160856.html,2026/5/27,"[株式会社インサイトウェブ]
株式会社インサイトウェブ（本社：東京都渋谷区、 代表取締役：秋葉武彦）は、運営する「ウォーターサーバーナビ」にて、ユーザーの要望に合わせたウォーターサーバーをAIが診断して選んでくれる機能「ウォーター...",株式会社インサイトウェブ,1,1,1,2,1,2,2,生成AI活用,2,ウォーターサーバー選定業務にAI診断機能を組み込んだ初期段階の実装。基本的なAIモデル活用だが、本格的な運用体制は未整備
9b57a622baa1,2026/5/27 5:11,PR TIMES,ForescoutとNetskope、ゼロトラストセキュリティの強化に向けたパートナーシップ締結を発表,https://prtimes.jp/main/html/rd/p/000000075.000137550.html,2026/5/27,"[Netskope Japan株式会社]
サイバーセキュリティのグローバルリーダーであるForescout Technologies Inc.(https://forescout.jp/)と、クラウドとAI時代に対応した最新のセキュリティとネットワーク技術で業界をリードするNetskope(https://...",Netskope Japan株式会社、Forescout Technologies Inc.,1,1,2,1,2,1,1,コンプライアンス,2,ゼロトラスト・セキュリティ強化のためのパートナーシップ。AI時代のセキュリティ対応が主題だが、具体的な活用方法は未記述
e0027f2512f3,2026/5/27 5:11,PR TIMES,AvayaとavatarinAIを活用した顧客体験をコンタクトセンターから現実世界へ拡張,https://prtimes.jp/main/html/rd/p/000000045.000057072.html,2026/5/27,"[avatarin株式会社]
[画像: https://prcdn.freetls.fastly.net/release_image/57072/45/57072-45-a1b995356cf9ca862cf8b827ba361fda-1920x1080.jpg?width=536&amp;quality=85%2C75&amp;format=jpeg&amp;auto=webp&amp;fit=",avatarin株式会社、Avaya,1,1,1,2,1,2,2,生成AIの業務プロセスへの統合,2,AI活用による顧客体験拡張（コンタクトセンターから現実世界へ）。初期段階の業務統合だが、標準化・体系化は未達
75e89c8e0bff,2026/5/27 5:11,PR TIMES,【AI動画制作サービスVideo Craft活用事例紹介】横浜労災病院様が患者への説明動画、職員への教育資料作成を目的にVideo Craftを導入,https://prtimes.jp/main/html/rd/p/000000114.000056192.html,2026/5/27,"[株式会社Stand Technologies]
[画像1: https://prcdn.freetls.fastly.net/release_image/56192/114/56192-114-a7e920e3499149895775326ba93655e7-2560x1480.png?width=536&amp;quality=85%2C75&amp;format=jpeg&amp;auto=",株式会社Stand Technologies、横浜労災病院,2,2,1,2,1,2,2,生成AIの業務プロセスへの統合,2,AI動画制作サービスの導入事例。患者説明・職員教育という業務への統合が進行中だが、標準化・全社展開は未確認。
1a9388c21846,2026/5/27 5:11,PR TIMES,AIエージェント時代のSalesforce開発・運用はどう変わる？コパード、「Agentforce World Tour Tokyo」特設サイトを公開 登壇セッション情報や事例を一挙集約,https://prtimes.jp/main/html/rd/p/000000012.000155348.html,2026/5/27,"[コパード株式会社]
Salesforceの開発・運用自動化（DevOps）プラットフォームをグローバルに展開するコパード株式会社（以下Copado）は、2026年6月9日（火）・10日（水）に開催される「Agentforce World Tour Tokyo（以下、AWTT）」...",コパード株式会社,2,2,1,2,1,2,2,生成AI活用,2,AIエージェント時代のSalesforce開発・運用自動化について情報発信。方針・手順の明文化段階で、全社標準化には至らず。
f5fd86b6f44f,2026/5/27 5:11,PR TIMES,AI用語115語・ツール30本・導入事例を1サイトに集約--無料メディア「AI産業通信」公開,https://prtimes.jp/main/html/rd/p/000000079.000121749.html,2026/5/27,"[株式会社Emposy]
[画像1: https://prcdn.freetls.fastly.net/release_image/121749/79/121749-79-51029280760c353f729648d3b43b291d-1669x958.png?width=536&amp;quality=85%2C75&amp;format=jpeg&amp;auto=webp&amp;fit=",株式会社Emposy,1,1,1,1,1,1,1,組織,1,AI用語・ツール・導入事例の情報提供メディア。業界啓発段階で、企業内での組織的・体系的な活用は体現していない。
902dc2b896e9,2026/5/27 5:11,PR TIMES,水稲の新品種育成におけるAI活用の取り組み,https://prtimes.jp/main/html/rd/p/000000013.000172640.html,2026/5/27,"[クロロス株式会社]
クロロス株式会社は、福岡県農林業総合試験場における水稲の新品種育成の取り組みを一例として、作物の画像解析AIの活用事例をご紹介します。

近年の気候変動を背景に、作物の品種開発においては、高温耐性や病...",クロロス株式会社,2,2,1,2,2,2,2,生成AI活用対象の業務プロセス,2,作物画像解析AIの活用事例であり、具体的なユースケースに基づく業務プロセス定義が明文化されている段階
dcc6dbdd95ce,2026/5/27 5:11,PR TIMES,ビジネス特化のAI漫画生成ツール『AI漫画つくるくん』が大型アップデート！タッチ安定性60%向上に加え、待望の「4コマ漫画制作」を解放。シナリオ精度も向上し、より高品質・低コストな制作が可能に,https://prtimes.jp/main/html/rd/p/000000170.000149156.html,2026/5/27,"[株式会社PRIZMA]
[画像1: https://prcdn.freetls.fastly.net/release_image/149156/170/149156-170-f78ae98d7fe723b146e8474a873ced95-1920x1280.png?width=536&amp;quality=85%2C75&amp;format=jpeg&amp;auto=webp&amp;f",株式会社PRIZMA,2,2,1,2,1,3,2,生成AI活用,3,AI漫画生成ツールの継続的な改善・アップデートにより、生成AIの運用・評価が標準化されている段階
